"Name","Platform","Year","North America","Europe","Japan","Other"
"F1 2001","PS2","2001","0.07","0.06","0","0.02"
"NHL 09","PS2","2008","0.07","0.06","0","0.02"
"Create","PS3","2010","0.11","0.03","0","0.02"
"F1 Championship Season 2000","PS2","2000","0.06","0.05","0.03","0.02"
"FIFA Soccer 96","PS","1995","0.09","0.06","0","0.01"
"FIFA Soccer 97","PS","1996","0.09","0.06","0","0.01"
"Wing Commander III: Heart of the Tiger","PS","1996","0.09","0.06","0","0.01"
"FaceBreaker","PS3","2008","0.13","0.03","0","0.02"
"NBA Live 16","PS4","2015","0.1","0.04","0","0.03"
"Catwoman","PS2","2004","0.08","0.06","0","0.02"
"Disney Golf","PS2","2002","0.07","0.06","0.02","0.02"
"NCAA Basketball 09","PS3","2008","0.15","0","0","0.01"
"Driving Emotion Type-S","PS2","2000","0.04","0.03","0.11","0.01"
"Mace Griffin: Bounty Hunter","PS2","2003","0.09","0.07","0","0.02"
"Aliens versus Predator: Extinction","PS2","2003","0.09","0.07","0","0.02"
"Rango: The Video Game","PS3","2011","0.07","0.09","0","0.04"
"Boogie","PS2","2007","0.09","0.07","0","0.02"
"NHL 17","PS4","2016","0.13","0.04","0","0.04"
"Dead to Rights II","PS2","2005","0.1","0.08","0","0.03"
"Untold Legends: Dark Kingdom","PS3","2006","0.14","0.02","0.02","0.02"
"WCW Backstage Assault","PS","1999","0.12","0.08","0","0.01"
"G.I. Joe: The Rise of Cobra","PS3","2009","0.11","0.07","0","0.03"
"Quake III: Revolution","PS2","2001","0.1","0.08","0","0.03"
"Rumble Racing","PS2","2001","0.1","0.08","0","0.03"
"Rugby 2004","PS2","2003","0.11","0.08","0","0.03"
"Sports Car GT","PS","1999","0.12","0.08","0","0.01"
"NBA Live 14","PS4","2013","0.14","0.05","0","0.03"
"NASCAR 08","PS3","2007","0.15","0.05","0","0.03"
"NBA Live 15","PS4","2014","0.15","0.04","0","0.04"
"TimeSplitters: Future Perfect","PS2","2005","0.12","0.09","0","0.03"
"Grand Slam Tennis 2","PS3","2012","0.09","0.11","0","0.04"
"PGA Tour 96","PS","1995","0.13","0.09","0","0.02"
"NASCAR 08","PS2","2007","0.12","0.09","0","0.03"
"NHL 08","PS3","2007","0.16","0.06","0","0.03"
"F1 2000","PS","2000","0.14","0.09","0","0.02"
"Harry Potter and the Order of the Phoenix","PS3","2007","0.18","0.04","0","0.03"
"Dune 2000","PS","1999","0.14","0.09","0","0.02"
"Hasbro Family Game Night 3","PS3","2010","0.18","0.04","0","0.03"
"NCAA March Madness 08","PS2","2007","0.13","0.1","0","0.03"
"Tiger Woods PGA Tour 10","PS2","2009","0.12","0.01","0","0.13"
"NASCAR 09","PS3","2008","0.22","0.01","0","0.02"
"NHL Rock the Rink","PS","1999","0.14","0.1","0","0.02"
"Trivial Pursuit","PS2","2009","0.09","0.01","0","0.17"
"Harry Potter and the Order of the Phoenix","PS2","2007","0.13","0.1","0","0.03"
"Superbike 2000","PS","1999","0.15","0.1","0","0.02"
"Harry Potter and the Sorcerer's Stone","PS2","2003","0.14","0.11","0","0.04"
"Army of Two: The Devil's Cartel","PS3","2013","0.11","0.11","0.01","0.05"
"Shadows of the Damned","PS3","2011","0.11","0.09","0.04","0.04"
"Warpath: Jurassic Park","PS","1998","0.15","0.1","0","0.02"
"NCAA Basketball 09","PS2","2008","0.14","0.11","0","0.04"
"The Godfather: Dons Edition","PS3","2007","0.25","0.02","0","0.03"
"Trivial Pursuit","PS3","2009","0.12","0.12","0","0.05"
"PGA Tour 97","PS","1996","0.16","0.11","0","0.02"
"The Sims 2: Pets","PS2","2006","0.02","0.01","0","0.27"
"Future Cop L.A.P.D.","PS","1997","0.16","0.11","0","0.02"
"WarCraft II: The Dark Saga","PS","1997","0.18","0.12","0","0.02"
"FIFA Street","PS2","2005","0.15","0.12","0","0.04"
"Championship Bass","PS","1999","0.18","0.12","0","0.02"
"OverBlood","PS","1996","0.05","0.04","0.21","0.02"
"FIFA 2001 Major League Soccer","PS","2000","0.18","0.12","0","0.02"
"Extreme Pinball","PS","1995","0.18","0.12","0","0.02"
"Mirror's Edge Catalyst","PS4","2016","0.1","0.14","0.02","0.06"
"UEFA Euro 2008 Austria-Switzerland","PS2","2008","0.03","0","0","0.28"
"NCAA Basketball 10","PS3","2009","0.31","0","0","0.03"
"FIFA Street 3","PS3","2008","0.08","0.18","0","0.06"
"NBA Live 96","PS","1996","0.16","0.11","0.04","0.02"
"Harry Potter and the Half-Blood Prince","PS3","2009","0.15","0.13","0","0.06"
"Harry Potter and the Deathly Hallows - Part 2","PS3","2011","0.14","0.15","0","0.05"
"NHL 09","PS3","2008","0.29","0.02","0","0.03"
"Fade to Black","PS","1996","0.19","0.13","0","0.02"
"Monopoly","PS3","2008","0.25","0.06","0","0.04"
"Tiger Woods PGA Tour 09","PS2","2008","0.16","0","0","0.21"
"Command & Conquer: Red Alert 3 Ultimate Edition","PS3","2009","0.14","0.17","0","0.06"
"FIFA Street 2","PS2","2006","0.17","0.13","0.02","0.04"
"The Sims 2: Castaway","PS2","2007","0.3","0.01","0","0.05"
"Skate","PS3","2007","0.29","0.05","0","0.04"
"NCAA Football 08","PS3","2007","0.35","0","0","0.03"
"NHL 15","PS3","2014","0.21","0.11","0","0.06"
"NCAA Football 11","PS2","2010","0.19","0.15","0","0.05"
"Mercenaries 2: World in Flames","PS2","2008","0.21","0","0","0.17"
"EA Sports MMA","PS3","2010","0.16","0.15","0.01","0.06"
"FIFA 17","PS3","2016","0.02","0.29","0.01","0.05"
"NBA Live 09","PS2","2008","0.32","0.01","0.01","0.05"
"Tiger Woods PGA Tour 14","PS3","2013","0.16","0.15","0","0.07"
"Tiger Woods PGA Tour 08","PS2","2007","0.19","0.15","0","0.05"
"Road Rash: Jailbreak","PS","1999","0.22","0.15","0","0.03"
"NBA Jam","PS3","2010","0.22","0.12","0","0.06"
"Mass Effect Trilogy","PS3","2012","0.37","0","0","0.04"
"UEFA Euro 2008 Austria-Switzerland","PS3","2008","0.08","0.27","0","0.06"
"Monopoly Streets","PS3","2010","0.16","0.18","0","0.07"
"Knockout Kings 2001","PS","2000","0.23","0.15","0","0.03"
"From Russia With Love","PS2","2005","0.34","0.01","0","0.06"
"NASCAR Thunder 2002","PS","2001","0.23","0.16","0","0.03"
"Harry Potter and the Deathly Hallows - Part 1","PS3","2010","0.13","0.21","0","0.08"
"Bionicle","PS2","2003","0.21","0.17","0","0.06"
"Def Jam Icon","PS3","2007","0.16","0.19","0","0.08"
"Monopoly","PS2","2008","0.21","0.16","0","0.05"
"Spawn: Armageddon","PS2","2003","0.22","0.17","0","0.06"
"Battlefield 2: Modern Combat","PS2","2005","0.37","0.01","0","0.06"
"NFL Head Coach","PS2","2006","0.38","0.01","0","0.06"
"NHL 2005","PS2","2004","0.22","0.17","0","0.06"
"Plants vs. Zombies: Garden Warfare 2","PS4","2016","0.17","0.21","0","0.07"
"Sled Storm","PS2","2002","0.22","0.17","0","0.06"
"The Godfather (JP sales)","PS2","2006","0.39","0.02","0","0.06"
"NHL 97","PS","1996","0.26","0.18","0","0.03"
"NCAA Football 09","PS2","2008","0.4","0.02","0","0.07"
"Theme Park Roller Coaster","PS2","2000","0.23","0.18","0","0.06"
"Battlefield: Hardline","PS3","2015","0.12","0.23","0.07","0.07"
"Tiger Woods PGA Tour 07","PS3","2006","0.31","0.12","0","0.07"
"The Saboteur","PS3","2009","0.2","0.22","0","0.08"
"Madden NFL 11","PS2","2010","0.41","0.02","0","0.07"
"NHL 07","PS2","2006","0.42","0.02","0","0.07"
"Rory McIlroy PGA Tour","PS4","2015","0.18","0.24","0","0.08"
"We Love Katamari","PS2","2005","0.26","0.2","0","0.07"
"NBA Live 09","PS3","2008","0.46","0","0.02","0.04"
"Swing Away Golf","PS2","2000","0.17","0.13","0.18","0.04"
"Freedom Fighters","PS2","2003","0.25","0.2","0","0.07"
"Madden NFL 07","PS3","2006","0.47","0","0.01","0.04"
"SSX On Tour","PS2","2005","0.25","0.2","0","0.07"
"NBA Live 2002","PS","2001","0.29","0.19","0","0.03"
"NCAA March Madness 06","PS2","2005","0.45","0.02","0","0.07"
"NCAA March Madness 2005","PS2","2004","0.44","0.02","0","0.07"
"007 Racing","PS","2000","0.3","0.2","0","0.03"
"NASCAR 09","PS2","2008","0.26","0.2","0","0.07"
"Ty the Tasmanian Tiger 2: Bush Rescue","PS2","2004","0.26","0.2","0","0.07"
"Bulletstorm","PS3","2011","0.23","0.2","0.01","0.08"
"NBA Live 10","PS3","2009","0.46","0.03","0.01","0.05"
"Tiger Woods PGA Tour 13","PS3","2012","0.24","0.22","0","0.09"
"Arena Football","PS2","2006","0.28","0.22","0","0.07"
"NCAA March Madness 07","PS2","2007","0.28","0.22","0","0.07"
"Harry Potter Collection","PS2","2006","0.28","0.21","0","0.07"
"Knockout Kings 2001","PS2","2001","0.28","0.21","0","0.07"
"NASCAR Rumble","PS","2000","0.31","0.21","0","0.04"
"Batman Begins","PS2","2005","0.27","0.21","0","0.07"
"Theme Park","PS","1994","0.24","0.16","0.13","0.04"
"Hasbro Family Game Night","PS2","2008","0.28","0.22","0","0.07"
"FIFA World Cup Germany 2006","PS2","2006","0.47","0.02","0","0.08"
"NHL 14","PS3","2013","0.28","0.19","0","0.09"
"Diablo","PS","1997","0.29","0.19","0.07","0.04"
"NHL 15","PS4","2014","0.3","0.18","0","0.1"
"The Lord of the Rings: The Third Age","PS2","2004","0.49","0.02","0","0.08"
"NCAA Football 09","PS3","2008","0.54","0","0","0.04"
"NHL 06","PS2","2005","0.48","0.02","0","0.08"
"NHL 10","PS3","2009","0.38","0.12","0","0.07"
"NCAA Football 10","PS2","2009","0.28","0.22","0","0.07"
"CyberTiger","PS","1998","0.33","0.22","0","0.04"
"2002 FIFA World Cup","PS2","2002","0.21","0.17","0.16","0.06"
"NHL 12","PS3","2011","0.36","0.16","0","0.07"
"Alice: Madness Returns","PS3","2011","0.22","0.25","0.04","0.09"
"Xena: Warrior Princess","PS","1998","0.33","0.23","0","0.04"
"NHL 11","PS3","2010","0.4","0.13","0","0.07"
"NHL 16","PS4","2015","0.35","0.15","0","0.11"
"Plants vs. Zombies: Garden Warfare","PS4","2014","0.21","0.29","0.01","0.11"
"Small Soldiers","PS","1998","0.34","0.23","0","0.04"
"Sim Theme Park","PS","1999","0.35","0.24","0","0.04"
"NASCAR 06: Total Team Control","PS2","2005","0.53","0.02","0","0.09"
"FIFA Soccer 2002","PS2","2001","0.31","0.24","0","0.08"
"NHL 2001","PS","2000","0.35","0.24","0","0.04"
"Harry Potter and the Half-Blood Prince","PS2","2009","0.13","0.07","0","0.44"
"GoldenEye: Rogue Agent","PS2","2004","0.54","0.02","0","0.09"
"NBA Live 08","PS3","2007","0.56","0.02","0.01","0.05"
"NHL 13","PS3","2012","0.33","0.22","0","0.1"
"Harry Potter and the Goblet of Fire","PS2","2005","0.54","0.02","0","0.09"
"Dragon Age: Inquisition","PS3","2014","0.26","0.23","0.05","0.1"
"Tiger Woods PGA Tour 2000","PS","1998","0.37","0.25","0","0.04"
"Darkstone","PS","2001","0.37","0.25","0","0.04"
"NCAA March Madness 2003","PS2","2002","0.32","0.25","0","0.08"
"Tiger Woods PGA Tour 09","PS3","2008","0.34","0.22","0","0.1"
"Street Sk8er","PS","1998","0.37","0.25","0","0.04"
"Moto Racer 2","PS","1997","0.39","0.26","0","0.05"
"Need for Speed: Shift 2 Unleashed","PS3","2011","0.2","0.36","0","0.13"
"NCAA Football 98","PS","1997","0.39","0.27","0","0.05"
"NASCAR 2001","PS2","2000","0.34","0.27","0","0.09"
"NCAA Football 2001","PS","2000","0.39","0.26","0","0.05"
"2014 FIFA World Cup Brazil","PS3","2014","0.15","0.39","0.01","0.16"
"NBA Live 08","PS2","2007","0.59","0.02","0.01","0.1"
"Tiger Woods PGA Tour 07","PS2","2006","0.6","0.02","0","0.1"
"FIFA: Road to World Cup 98","PS","1997","0.14","0.09","0.46","0.05"
"Tiger Woods PGA Tour 2001","PS2","2001","0.36","0.28","0","0.09"
"Tiger Woods PGA Tour 08","PS3","2007","0.22","0.38","0","0.14"
"The Godfather II","PS3","2009","0.41","0.22","0.01","0.11"
"MVP 06 NCAA Baseball","PS2","2006","0.62","0.02","0","0.1"
"Plants vs. Zombies: Garden Warfare","PS3","2014","0.22","0.4","0.01","0.14"
"The Lord of the Rings: Conquest","PS3","2009","0.38","0.26","0","0.12"
"FIFA Soccer 11","PS2","2010","0.11","0.29","0","0.36"
"Andretti Racing","PS","1996","0.43","0.29","0","0.05"
"Marvel Nemesis: Rise of the Imperfects","PS2","2005","0.64","0.02","0","0.1"
"Need for Speed: Porsche Unleashed","PS","1999","0.43","0.29","0","0.05"
"Battle Stations","PS","1997","0.43","0.29","0","0.05"
"Tiger Woods PGA Tour 10","PS3","2009","0.42","0.25","0","0.12"
"NCAA Football 08","PS2","2007","0.65","0.03","0","0.11"
"NCAA Football 14","PS3","2013","0.75","0","0","0.06"
"Moto Racer","PS","1997","0.45","0.3","0","0.05"
"NASCAR 2001","PS","2000","0.45","0.31","0","0.05"
"NCAA Football 10","PS3","2009","0.75","0","0","0.06"
"The Sims 2","PS2","2005","0.67","0.03","0","0.11"
"Madden NFL 16","PS3","2015","0.56","0.11","0","0.15"
"Madden NFL 25","PS4","2013","0.62","0.13","0","0.07"
"FIFA Soccer World Championship","PS2","2000","0.27","0.21","0.28","0.07"
"NCAA Football 12","PS3","2011","0.78","0","0","0.05"
"Tiger Woods PGA Tour 11","PS3","2010","0.37","0.34","0","0.13"
"NCAA Football 11","PS3","2010","0.79","0","0","0.06"
"Dragon Age II","PS3","2011","0.4","0.27","0.05","0.12"
"Skate 2","PS3","2009","0.46","0.26","0.01","0.12"
"Army of Two: The 40th Day","PS3","2010","0.44","0.27","0.01","0.12"
"Mercenaries 2: World in Flames","PS3","2008","0.29","0.4","0.02","0.16"
"NCAA Football 13","PS3","2012","0.82","0","0","0.06"
"Kingdoms of Amalur: Reckoning","PS3","2012","0.37","0.3","0.09","0.11"
"NHL 2000","PS","1998","0.48","0.33","0","0.06"
"Fight Night Round 2","PS2","2005","0.72","0.03","0","0.12"
"Triple Play 2002","PS2","2002","0.43","0.33","0","0.11"
"Tiger Woods PGA Tour 06","PS2","2005","0.74","0.03","0","0.12"
"EA Sports UFC 2","PS4","2016","0.28","0.47","0","0.14"
"Tiger Woods PGA Tour 2002","PS2","2002","0.44","0.35","0","0.12"
"Burnout Revenge","PS2","2005","0.75","0.03","0","0.12"
"Crysis 3","PS3","2013","0.26","0.43","0.03","0.18"
"Tiger Woods PGA Tour 12: The Masters","PS3","2011","0.52","0.26","0","0.12"
"Harry Potter: Quidditch World Cup","PS2","2003","0.44","0.34","0","0.11"
"Knockout Kings 2002","PS2","2002","0.45","0.35","0","0.12"
"The Simpsons Game","PS3","2007","0.38","0.37","0","0.15"
"007: The World is not Enough","PS","2000","0.51","0.35","0","0.06"
"NHL 98","PS","1997","0.51","0.35","0","0.06"
"EA Sports Active 2","PS3","2010","0.52","0.28","0","0.12"
"NHL 2003","PS2","2002","0.46","0.36","0","0.12"
"SSX","PS3","2012","0.35","0.42","0.02","0.14"
"Kessen","PS2","2000","0.27","0.21","0.41","0.07"
"NCAA Football 2000","PS","1999","0.53","0.36","0","0.06"
"Brutal Legend","PS3","2009","0.54","0.28","0","0.13"
"NHL 2001","PS2","2000","0.47","0.37","0","0.12"
"Madden NFL 08","PS3","2007","0.89","0.01","0","0.08"
"NHL 2004","PS2","2003","0.47","0.37","0","0.12"
"Medal of Honor: Underground","PS","2000","0.54","0.37","0","0.06"
"Madden NFL 10","PS2","2009","0.88","0","0","0.1"
"Road & Track Presents: The Need for Speed","PS","1995","0.56","0.38","0","0.07"
"NBA Live 97","PS","1996","0.55","0.38","0","0.07"
"Dead Space 3","PS3","2013","0.44","0.38","0","0.17"
"The Lost World: Jurassic Park","PS","1997","0.57","0.39","0","0.07"
"Harry Potter and the Prisoner of Azkaban","PS2","2004","0.5","0.39","0","0.13"
"NCAA March Madness 2004","PS2","2003","0.5","0.39","0","0.13"
"MVP Baseball 2003","PS2","2003","0.51","0.4","0","0.13"
"EA Sports UFC","PS4","2014","0.46","0.4","0.01","0.17"
"NCAA Football 99","PS","1998","0.59","0.4","0","0.07"
"Freekstyle","PS2","2002","0.52","0.41","0","0.14"
"NBA Street V3","PS2","2005","0.52","0.41","0","0.14"
"NHL 99","PS","1997","0.59","0.4","0","0.07"
"Hot Wheels Turbo Racing","PS","1999","0.59","0.4","0","0.07"
"NASCAR Thunder 2004","PS2","2003","0.53","0.41","0","0.14"
"The Orange Box","PS3","2007","0.28","0.59","0","0.22"
"The Godfather","PS2","2006","0.89","0.03","0.01","0.15"
"Dante's Inferno","PS3","2010","0.64","0.28","0.04","0.13"
"Triple Play 98","PS","1997","0.61","0.42","0","0.07"
"NBA Live 2001","PS2","2001","0.52","0.4","0.04","0.13"
"Mirror's Edge","PS3","2008","0.31","0.59","0.02","0.22"
"Fight Night Champion","PS3","2011","0.45","0.51","0","0.19"
"NASCAR Thunder 2002","PS2","2001","0.57","0.44","0","0.15"
"Soviet Strike","PS","1996","0.65","0.44","0","0.08"
"Army of Two","PS3","2008","0.74","0.26","0.02","0.15"
"Ty the Tasmanian Tiger","PS2","2002","0.57","0.45","0","0.15"
"Nuclear Strike","PS","1997","0.66","0.45","0","0.08"
"NHL 2002","PS2","2001","0.59","0.46","0","0.15"
"Test Drive 4","PS","1997","0.67","0.46","0","0.08"
"NBA Live 99","PS","1997","1.13","0.05","0","0.03"
"WCW Mayhem","PS","1998","0.68","0.46","0","0.08"
"2010 FIFA World Cup South Africa","PS3","2010","0.3","0.64","0.07","0.22"
"Medal of Honor: Airborne","PS3","2007","0.25","0.7","0.03","0.25"
"Madden NFL 17","PS4","2016","0.92","0.08","0","0.23"
"NBA Live 2001","PS","2000","0.7","0.47","0","0.08"
"Black","PS2","2006","1.01","0.04","0.03","0.16"
"Road Rash 3D","PS","1998","1.05","0.16","0","0.04"
"Need for Speed Carbon","PS3","2006","0.49","0.52","0.03","0.21"
"Road Rash","PS","1995","0.71","0.48","0","0.08"
"FIFA Street","PS3","2012","0.11","0.92","0","0.25"
"Crysis 2","PS3","2011","0.45","0.57","0.06","0.21"
"NBA Live 07","PS2","2006","1.07","0.04","0.02","0.17"
"Madden NFL 97","PS","1996","0.73","0.5","0","0.09"
"Triple Play 2001","PS","2000","0.74","0.5","0","0.09"
"Need for Speed Carbon","PS2","2006","1.22","0.05","0.05","0.01"
"MVP Baseball 2004","PS2","2004","1.1","0.06","0","0.18"
"Madden NFL 98","PS","1997","1.29","0.03","0","0.03"
"Battlefield: Bad Company","PS3","2008","0.76","0.36","0.05","0.18"
"Samurai Warriors","PS2","2004","0.22","0.05","1.06","0.02"
"Dead to Rights","PS2","2002","0.67","0.52","0","0.17"
"Madden NFL 2002","PS","2001","0.78","0.53","0","0.09"
"Need For Speed: Undercover","PS2","2008","0.38","0.08","0.03","0.93"
"Madden NFL 15","PS3","2014","1.07","0.15","0","0.19"
"Knockout Kings 2000","PS","1999","1.02","0.34","0","0.05"
"NASCAR 2005: Chase for the Cup","PS2","2004","0.69","0.54","0","0.18"
"NBA Live 06 (Weekly american sales)","PS2","2005","1.35","0.05","0","0.02"
"NFL Street","PS2","2004","1.15","0.08","0","0.19"
"Triple Play 2000","PS","1999","0.79","0.54","0","0.09"
"Need for Speed Rivals","PS3","2013","0.33","0.74","0.05","0.31"
"Tiger Woods PGA Tour 2005","PS2","2004","1.03","0.32","0","0.09"
"Dead Space 2","PS3","2011","0.73","0.5","0","0.21"
"NCAA Football 2003","PS2","2002","1.16","0.08","0","0.19"
"Mass Effect 3","PS3","2012","0.63","0.59","0.03","0.21"
"Medal of Honor: Warfighter","PS3","2012","0.47","0.65","0.06","0.28"
"Mass Effect 2","PS3","2011","0.78","0.47","0.03","0.2"
"Fight Night 2004","PS2","2004","1.08","0.2","0","0.2"
"Madden NFL 09","PS2","2008","1.22","0","0","0.27"
"Madden NFL 2001","PS2","2000","1.19","0.07","0.05","0.2"
"Simpsons Wrestling","PS","2001","0.23","1.16","0","0.11"
"NBA Live 98","PS","1997","1.41","0.06","0","0.04"
"The Simpsons Game","PS2","2007","0.35","0.03","0","1.13"
"Knockout Kings","PS","1997","1.07","0.39","0","0.06"
"The Simpsons Skateboarding","PS2","2002","0.36","0.9","0","0.27"
"NASCAR 98","PS","1996","1.43","0.05","0","0.04"
"NASCAR 99","PS","1998","1.45","0.04","0","0.04"
"NBA Live 2000","PS","1998","1.43","0.05","0","0.03"
"Fight Night Round 4","PS3","2009","0.92","0.41","0","0.21"
"Tiger Woods 99 PGA Tour Golf","PS","1997","0.85","0.58","0","0.1"
"MVP Baseball 2005","PS2","2005","1.26","0.07","0","0.21"
"Fight Night Round 3","PS2","2006","1.07","0.4","0","0.1"
"NCAA Football 2002","PS2","2001","0.77","0.6","0","0.2"
"NASCAR 2000","PS","1999","0.88","0.6","0","0.1"
"NFL Street 2","PS2","2004","0.79","0.62","0","0.21"
"NCAA Football 2005","PS2","2004","1.32","0.09","0","0.22"
"Sled Storm","PS","1998","0.9","0.61","0","0.11"
"Tiger Woods PGA Tour 2004","PS2","2003","1.18","0.34","0","0.1"
"Tiger Woods PGA Tour 2003","PS2","2002","0.8","0.63","0","0.21"
"NBA Live 06 (All region sales)","PS2","2005","1.44","0.15","0","0.05"
"SSX","PS2","2000","0.78","0.61","0.06","0.2"
"NBA Live 2003","PS2","2002","1.25","0.15","0.03","0.22"
"SSX 3","PS2","2003","0.93","0.52","0","0.22"
"Madden NFL 2001","PS","2000","1.58","0.05","0","0.04"
"Fight Night Round 3","PS3","2006","0.81","0.59","0.01","0.26"
"NCAA Football 2004","PS2","2003","1.35","0.09","0","0.23"
"Dragon Age: Origins","PS3","2009","0.96","0.44","0.08","0.22"
"FIFA Soccer 10","PS2","2009","0.23","0.24","0","1.23"
"NCAA Football 07","PS2","2006","1.41","0.05","0","0.23"
"SSX Tricky","PS2","2001","0.85","0.66","0","0.22"
"Madden NFL 99","PS","1998","1.66","0.04","0","0.04"
"Madden NFL 2000","PS","1998","1.68","0.04","0","0.04"
"Def Jam: Fight for NY","PS2","2004","0.86","0.67","0","0.22"
"The Urbz: Sims in the City","PS2","2004","0.52","0.95","0","0.29"
"FIFA Soccer 08","PS3","2007","0.35","1.07","0.02","0.32"
"Madden NFL 25","PS3","2013","1.59","0.03","0","0.15"
"NCAA Football 06","PS2","2005","1.53","0.05","0","0.25"
"NBA Live 2002","PS2","2001","0.91","0.71","0","0.24"
"FIFA 2000","PS","1998","0.22","1.47","0.04","0.14"
"Medal of Honor: European Assault (All Region sales)","PS2","2005","0.89","0.69","0.09","0.21"
"Need for Speed Rivals","PS4","2013","0.73","0.91","0.03","0.22"
"Madden NFL 09","PS3","2008","1.56","0.15","0","0.18"
"Def Jam Vendetta","PS2","2003","0.95","0.74","0","0.25"
"NBA Street Vol. 2","PS2","2003","1.69","0.2","0","0.06"
"Dragon Age: Inquisition","PS4","2014","0.72","0.86","0.08","0.32"
"Burnout Paradise","PS3","2008","1.01","0.64","0.02","0.3"
"Harry Potter and the Chamber of Secrets","PS","2002","0.75","1.09","0.02","0.12"
"Dead Space","PS3","2008","1.05","0.67","0","0.3"
"Madden NFL 15","PS4","2014","1.53","0.25","0","0.25"
"NBA Live 2004","PS2","2003","1.57","0.18","0","0.27"
"Need for Speed: The Run","PS3","2011","0.58","1.06","0.03","0.37"
"Need for Speed: ProStreet","PS3","2007","0.73","0.92","0.04","0.37"
"The Sims 3","PS3","2010","0.73","0.97","0.02","0.34"
"Need For Speed: Undercover","PS3","2008","0.63","1.02","0.05","0.39"
"Skate 3","PS3","2010","0.79","0.94","0","0.35"
"Battlefield: Hardline","PS4","2015","0.7","0.93","0.14","0.32"
"Need for Speed: Hot Pursuit 2","PS2","2002","1.68","0.31","0.02","0.09"
"Madden NFL 12","PS3","2011","1.93","0.15","0","0.17"
"FIFA Soccer 09","PS2","2008","0.38","0.07","0.01","1.82"
"James Bond 007: Everything or Nothing","PS2","2004","0.85","1.06","0.09","0.32"
"Need For Speed: High Stakes","PS","1999","1.58","0.64","0","0.09"
"Madden NFL 10","PS3","2009","2.03","0.13","0","0.21"
"Madden NFL 11","PS3","2010","2.04","0.15","0","0.19"
"Need for Speed (2015)","PS4","2015","0.49","1.49","0.05","0.36"
"Need for Speed: ProStreet","PS2","2007","0.69","0","0.04","1.68"
